id,sms_group_id,is_routing_updated,old_route,new_route,start_timestamp,end_timestamp,evaluation_criteria
1,1174,f,"{""p2_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p1_carrier"": {""carrier_name"": ""clx"", ""carrier_id"": ""29755601396636""}, ""p3_carrier"": {""carrier_name"": ""nrs-gold"", ""carrier_id"": ""98975476704669""}}",,2018-06-21 12:59:30,2018-06-21 12:59:49,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
2,1177,f,"{""p2_carrier"": {""carrier_name"": ""nrs-gold"", ""carrier_id"": ""98975476704669""}, ""p1_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p3_carrier"": {""carrier_name"": ""clx"", ""carrier_id"": ""29755601396636""}}",,2018-06-21 12:59:30,2018-06-21 12:59:50,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
3,2038,f,"{""p2_carrier"": {""carrier_name"": ""MessageBird"", ""carrier_id"": ""19923515778620""}, ""p1_carrier"": {""carrier_name"": ""DeutscheTelecom"", ""carrier_id"": ""23462989061384""}, ""p4_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p3_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p5_carrier"": {""carrier_name"": ""telefonica"", ""carrier_id"": ""21131752844954""}}",,2018-06-21 12:59:31,2018-06-21 13:00:03,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
4,2033,f,"{""p2_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p1_carrier"": {""carrier_name"": ""MessageBird"", ""carrier_id"": ""19923515778620""}, ""p4_carrier"": {""carrier_name"": ""DeutscheTelecom"", ""carrier_id"": ""23462989061384""}, ""p3_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p5_carrier"": {""carrier_name"": ""telefonica"", ""carrier_id"": ""21131752844954""}}",,2018-06-21 12:59:31,2018-06-21 13:00:04,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
5,2014,f,"{""p2_carrier"": {""carrier_name"": ""MessageBird"", ""carrier_id"": ""19923515778620""}, ""p1_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p4_carrier"": {""carrier_name"": ""DeutscheTelecom"", ""carrier_id"": ""23462989061384""}, ""p3_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p5_carrier"": {""carrier_name"": ""telefonica"", ""carrier_id"": ""21131752844954""}}",,2018-06-21 12:59:36,2018-06-21 13:00:04,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
9,1508,f,"{""p2_carrier"": {""carrier_name"": ""tyntec"", ""carrier_id"": ""33836000890597""}, ""p1_carrier"": {""carrier_name"": ""clx"", ""carrier_id"": ""29755601396636""}, ""p4_carrier"": {""carrier_name"": ""infobip"", ""carrier_id"": ""27996364767194""}, ""p3_carrier"": {""carrier_name"": ""silverstreet"", ""carrier_id"": ""30334976113508""}, ""p5_carrier"": {""carrier_name"": ""baizetech"", ""carrier_id"": ""18909406198773""}}",,2018-06-21 12:59:51,2018-06-21 13:00:05,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
8,1175,f,"{""p2_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p1_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p4_carrier"": {""carrier_name"": ""nrs-gold"", ""carrier_id"": ""98975476704669""}, ""p3_carrier"": {""carrier_name"": ""clx"", ""carrier_id"": ""29755601396636""}}",,2018-06-21 12:59:51,2018-06-21 13:00:17,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
12,1509,f,"{""p2_carrier"": {""carrier_name"": ""tyntec"", ""carrier_id"": ""33836000890597""}, ""p1_carrier"": {""carrier_name"": ""clx"", ""carrier_id"": ""29755601396636""}, ""p4_carrier"": {""carrier_name"": ""infobip"", ""carrier_id"": ""27996364767194""}, ""p3_carrier"": {""carrier_name"": ""silverstreet"", ""carrier_id"": ""30334976113508""}, ""p5_carrier"": {""carrier_name"": ""baizetech"", ""carrier_id"": ""18909406198773""}}",,2018-06-21 13:00:04,2018-06-21 13:00:17,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
6,2011,f,"{""p2_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p1_carrier"": {""carrier_name"": ""MessageBird"", ""carrier_id"": ""19923515778620""}, ""p4_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p3_carrier"": {""carrier_name"": ""DeutscheTelecom"", ""carrier_id"": ""23462989061384""}, ""p5_carrier"": {""carrier_name"": ""telefonica"", ""carrier_id"": ""21131752844954""}}",,2018-06-21 12:59:50,2018-06-21 13:00:19,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
10,1391,f,"{""p2_carrier"": {""carrier_name"": ""clx"", ""carrier_id"": ""29755601396636""}, ""p1_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p4_carrier"": {""carrier_name"": ""DeutscheTelecom"", ""carrier_id"": ""23462989061384""}, ""p3_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}}",,2018-06-21 12:59:56,2018-06-21 13:00:19,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
7,1398,f,"{""p2_carrier"": {""carrier_name"": ""clx"", ""carrier_id"": ""29755601396636""}, ""p1_carrier"": {""carrier_name"": ""bics"", ""carrier_id"": ""30291946567910""}, ""p4_carrier"": {""carrier_name"": ""DeutscheTelecom"", ""carrier_id"": ""23462989061384""}, ""p3_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}}",,2018-06-21 12:59:50,2018-06-21 13:00:19,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
13,1237,f,"{""p2_carrier"": {""carrier_name"": ""telefonica"", ""carrier_id"": ""21131752844954""}, ""p1_carrier"": {""carrier_name"": ""tww"", ""carrier_id"": ""30680634689067""}, ""p4_carrier"": {""carrier_name"": ""tyntec"", ""carrier_id"": ""33836000890597""}, ""p3_carrier"": {""carrier_name"": ""zen-brazil"", ""carrier_id"": ""33108224994164""}}",,2018-06-21 13:00:05,2018-06-21 13:00:38,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
15,1770,f,"{""p2_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p1_carrier"": {""carrier_name"": ""MessageBird"", ""carrier_id"": ""19923515778620""}, ""p4_carrier"": {""carrier_name"": ""baizetech-direct"", ""carrier_id"": ""21718572475616""}, ""p3_carrier"": {""carrier_name"": ""silverstreet"", ""carrier_id"": ""30334976113508""}}",,2018-06-21 13:00:19,2018-06-21 13:00:49,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
14,60,t,"{""p2_carrier"": {""carrier_name"": ""Wavecell"", ""carrier_id"": ""47741494988084""}, ""p1_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p4_carrier"": {""carrier_name"": ""infobip"", ""carrier_id"": ""27996364767194""}, ""p3_carrier"": {""carrier_name"": ""silverstreet"", ""carrier_id"": ""30334976113508""}}","{""p2_carrier"": {""carrier_name"": ""TATA-Direct"", ""carrier_id"": ""14639128681798""}, ""p1_carrier"": {""carrier_name"": ""Wavecell"", ""carrier_id"": ""47741494988084""}, ""p4_carrier"": {""carrier_name"": ""infobip"", ""carrier_id"": ""27996364767194""}, ""p3_carrier"": {""carrier_name"": ""silverstreet"", ""carrier_id"": ""30334976113508""}}",2018-06-21 13:00:05,2018-06-21 13:01:37,"{""delivery_rate"": 80, ""delivery_time"": {""threshold_value"": 10.0, ""aggregate_type"": ""average""}, ""no_of_tests"": 1}"
